word,pos,scores
elated,adjective,4
ebullient,adjective,4
delighted,adjective,4
blissful,adjective,4
beauteous,adjective,4
adored,adjective,4
pre-eminent,adjective,4
preeminent,adjective,4
ass-kicking,adjective,3
genre-breaking,adjective,3
intense,adjective,3
lotus-like,adjective,3
meaningful,adjective,3
organic,adjective,3
hysterical,adjective,3
inventive,adjective,3
lasting,adjective,3
lyrical,adjective,3
masterly,adjective,3
poetic,adjective,3
quintessential,adjective,3
recommendable,adjective,3
top-dollar,adjective,3
top-rack,adjective,3
abundant,adjective,3
accessible,adjective,3
action-packed,adjective,3
adventurous,adjective,3
affluent,adjective,3
all-out,adjective,3
all-too-rare,adjective,3
ample,adjective,3
amusing,adjective,3
appealing,adjective,3
appreciative,adjective,3
artistic,adjective,3
artful,adjective,3
astonishing,adjective,3
astute,adjective,3
available,adjective,3
bold,adjective,3
borderless,adjective,3
bright,adjective,3
buff,adjective,3
built-to-last,adjective,3
captivating,adjective,3
charismatic,adjective,3
cheerful,adjective,3
classic,adjective,3
classy,adjective,3
clear-cut,adjective,3
clever,adjective,3
commendable,adjective,3
comprehensive,adjective,3
considerate,adjective,3
convenient,adjective,3
cordless,adjective,3
correct,adjective,3
courteous,adjective,3
cozy,adjective,3
creative,adjective,3
cute,adjective,3
dandy,adjective,3
dear,adjective,3
deft,adjective,3
dependable,adjective,3
deserving,adjective,3
dope,adjective,3
durable,adjective,3
easy-to-carry,adjective,3
easy-to-read,adjective,3
easy-to-use,adjective,3
economic,adjective,3
economical,adjective,3
educational,adjective,3
effortless,adjective,3
energetic,adjective,3
energy-saving,adjective,3
enormous,adjective,3
ergonomic,adjective,3
ever-wonderful,adjective,3
expansive,adjective,3
extensive,adjective,3
famous,adjective,3
fanciful,adjective,3
favorable,adjective,3
fearless,adjective,3
feel-good,adjective,3
festive,adjective,3
flexible,adjective,3
flicker-free,adjective,3
free,adjective,3
freshly-squeezed,adjective,3
full-featured,adjective,3
fun,adjective,3
fun-loving,adjective,3
funny,adjective,3
good,adjective,3
graceful,adjective,3
gripping,adjective,3
healthy,adjective,3
heartfelt,adjective,3
heroic,adjective,3
high-end,adjective,3
high-performance,adjective,3
high-quality,adjective,3
high-resolution,adjective,3
hospitable,adjective,3
humorous,adjective,3
imaginable,adjective,3
imaginative,adjective,3
imaginitive,adjective,3
important,adjective,3
in-depth,adjective,3
inexpensive,adjective,3
in-room,adjective,3
insightful,adjective,3
instructional,adjective,3
intellectual,adjective,3
interesting,adjective,3
interference-free,adjective,3
intriguing,adjective,3
intuitive,adjective,3
in-tune,adjective,3
inviting,adjective,3
jolly,adjective,3
keyless,adjective,3
knowledgeable,adjective,3
leather-wrapped,adjective,3
letter-perfect,adjective,3
lifelike,adjective,3
lightning-fast,adjective,3
light-weight,adjective,3
lint-free,adjective,3
lively,adjective,3
liven-up,adjective,3
lush,adjective,3
master-chef,adjective,3
mega-star,adjective,3
memorable,adjective,3
multi-task,adjective,3
multi-tasking,adjective,3
multi-tasks,adjective,3
muscular,adjective,3
musical,adjective,3
near-cult,adjective,3
new-this-year,adjective,3
non-corrosive,adjective,3
non-proprietary,adjective,3
non-skid,adjective,3
non-slip,adjective,3
non-stick,adjective,3
non-sticks,adjective,3
non-traditional,adjective,3
no-questions-asked,adjective,3
one-of-a-kind,adjective,3
otherworldly,adjective,3
out-perform,adjective,3
padlockable,adjective,3
passionate,adjective,3
popular,adjective,3
positive,adjective,3
powerful,adjective,3
precious,adjective,3
problem-free,adjective,3
professional,adjective,3
professional-looking,adjective,3
prolific,adjective,3
queen-sized,adjective,3
quality,adjective,3
reclining,adjective,3
refillable,adjective,3
reputable,adjective,3
revolutionary,adjective,3
rewarding,adjective,3
rhythmic,adjective,3
rich,adjective,3
romantic,adjective,3
roomy,adjective,3
rugged,adjective,3
satisfying,adjective,3
savory,adjective,3
seamless,adjective,3
silky,adjective,3
sleek,adjective,3
slick,adjective,3
smooth-running,adjective,3
snazzy,adjective,3
sophisticated,adjective,3
special,adjective,3
specialized,adjective,3
speed-on-demand,adjective,3
stupid-funny,adjective,3
stylistic,adjective,3
successful,adjective,3
sumptuous,adjective,3
sunny,adjective,3
super,adjective,3
superdrive,adjective,3
sweet,adjective,3
symphonic,adjective,3
synchronized,adjective,3
teflon-coated,adjective,3
tender,adjective,3
thrilling,adjective,3
top-end,adjective,3
touch-screen,adjective,3
tremendous,adjective,3
triumphant,adjective,3
tubular,adjective,3
uncluttered,adjective,3
unique,adjective,3
unique-looking,adjective,3
universal,adjective,3
unparalleled,adjective,3
uplifting,adjective,3
up-lifting,adjective,3
valuable,adjective,3
value-packed,adjective,3
ventilated,adjective,3
versatile,adjective,3
vivid,adjective,3
welcome,adjective,3
wise,adjective,3
witty,adjective,3
worthwhile,adjective,3
zany,adjective,3
accurate,adjective,3
affordable,adjective,3
attractive,adjective,3
air-conditioned,adjective,3
dishwasher-safe,adjective,3
plug-and-play,adjective,3
user-friendly,adjective,3
adept,adjective,3
all-mighty,adjective,3
almighty,adjective,3
euphonious,adjective,3
laugh-out-loud,adjective,3
near-classic,adjective,3
patient,adjective,3
resounding,adjective,3
rockin,adjective,3
top-drawer,adjective,3
well-bred,adjective,3
adroit,adjective,3
gallant,adjective,3
astounding,adjective,3
inspirational,adjective,3
enamored,adjective,3
eloquent,adjective,3
virtuous,adjective,3
unassailable,adjective,3
tenacious,adjective,3
sage,adjective,3
sacred,adjective,3
rousing,adjective,3
renowned,adjective,3
penetrating,adjective,3
moving,adjective,3
luxuriant,adjective,3
lustrous,adjective,3
jovial,adjective,3
irresistible,adjective,3
irreproachable,adjective,3
infallible,adjective,3
illustrious,adjective,3
heartwarming,adjective,3
gutsy,adjective,3
groundbreaking,adjective,3
excited,adjective,3
distinguished,adjective,3
dazzled,adjective,3
dashing,adjective,3
compassionate,adjective,3
thriving,adjective,3
record-setting,adjective,3
leading,adjective,3
industrious,adjective,3
best-selling,adjective,3
upset,adjective,3
clean,adjective,2
capacious,adjective,2
cogent,adjective,2
confident,adjective,2
crisp,adjective,2
long-lasting,adjective,2
monumental,adjective,2
pretty,adjective,2
quaint,adjective,2
racy,adjective,2
restaurant-like,adjective,2
above-average,adjective,2
active,adjective,2
adaptable,adjective,2
addictive,adjective,2
adjustable,adjective,2
airy,adjective,2
all-new,adjective,2
already-nice,adjective,2
anticipated,adjective,2
anti-glare,adjective,2
anti-lock,adjective,2
apt,adjective,2
attentive,adjective,2
avid,adjective,2
bang-up,adjective,2
breathless,adjective,2
bubbly,adjective,2
budget-conscious,adjective,2
built-in,adjective,2
calm,adjective,2
capable,adjective,2
cherubic,adjective,2
chic,adjective,2
clear,adjective,2
clear-bodied,adjective,2
cliff-hanging,adjective,2
cognizant,adjective,2
coherent,adjective,2
colorful,adjective,2
comfortable,adjective,2
competent,adjective,2
complimentary,adjective,2
concise,adjective,2
configurable,adjective,2
consistent,adjective,2
convincing,adjective,2
cool,adjective,2
copious,adjective,2
cordial,adjective,2
courageous,adjective,2
coying,adjective,2
cut-rate,adjective,2
decent-sized,adjective,2
decorative,adjective,2
delicate,adjective,2
dexterous,adjective,2
diligent,adjective,2
dual-stage,adjective,2
dual-zone,adjective,2
dynamic,adjective,2
eager,adjective,2
earnest,adjective,2
edgy,adjective,2
efficient,adjective,2
elaborate,adjective,2
electronic,adjective,2
erotic,adjective,2
essential,adjective,2
eternal,adjective,2
ethereal,adjective,2
eventful,adjective,2
ever-evolving,adjective,2
ever-faithful,adjective,2
evocative,adjective,2
faithful,adjective,2
fast-paced,adjective,2
fine,adjective,2
flat-panel,adjective,2
fond,adjective,2
formidable,adjective,2
free-spirited,adjective,2
fresh,adjective,2
frisky,adjective,2
fruitful,adjective,2
full-fledged,adjective,2
full-size,adjective,2
generous,adjective,2
genious,adjective,2
gentle,adjective,2
genuine,adjective,2
germ-free,adjective,2
gifted,adjective,2
glad,adjective,2
good-natured,adjective,2
grateful,adjective,2
gut-busting,adjective,2
handy,adjective,2
hard-working,adjective,2
hardy,adjective,2
hearty,adjective,2
heavy-duty,adjective,2
helpful,adjective,2
hit,adjective,2
home-cooked,adjective,2
honest,adjective,2
honorable,adjective,2
hopeful,adjective,2
humble,adjective,2
inexhaustible,adjective,2
infectious,adjective,2
influential,adjective,2
informative,adjective,2
innocent,adjective,2
intensive,adjective,2
intoxicating,adjective,2
keen,adjective,2
kind,adjective,2
kindly,adjective,2
ladylike,adjective,2
leisurely,adjective,2
liberal,adjective,2
lighthearted,adjective,2
light-hearted,adjective,2
likeable,adjective,2
listenable,adjective,2
lovely,adjective,2
loving,adjective,2
loyal,adjective,2
luaus,adjective,2
lucky,adjective,2
meaty,adjective,2
melodic,adjective,2
merry,adjective,2
mind-blowing,adjective,2
modern,adjective,2
mystical,adjective,2
natural,adjective,2
near-silence,adjective,2
neat,adjective,2
new,adjective,2
nice,adjective,2
nice-looking,adjective,2
nicely-finished,adjective,2
nicely-tuned,adjective,2
nice-sounding,adjective,2
nifty,adjective,2
noble,adjective,2
normal,adjective,2
nostalgic,adjective,2
noteworthy,adjective,2
optimistic,adjective,2
ornate,adjective,2
oven-proof,adjective,2
oven-safe,adjective,2
pastoral,adjective,2
playable,adjective,2
playful,adjective,2
plentiful,adjective,2
polite,adjective,2
precise,adjective,2
progressive,adjective,2
promising,adjective,2
purposeful,adjective,2
quick,adjective,2
reflective,adjective,2
reliable,adjective,2
resourceful,adjective,2
robust,adjective,2
rustic-yet-contemporary,adjective,2
sand-covered,adjective,2
sandy,adjective,2
sentimental,adjective,2
silent,adjective,2
sincere,adjective,2
skilled,adjective,2
skillful,adjective,2
smart,adjective,2
smoother,adjective,2
snappy,adjective,2
souped-up,adjective,2
spicy,adjective,2
sporty,adjective,2
sporting,adjective,2
spunky,adjective,2
stainless,adjective,2
stainless-steel,adjective,2
strategic,adjective,2
street-smart,adjective,2
street-wise,adjective,2
strong,adjective,2
sturdy,adjective,2
suspenseful,adjective,2
swell,adjective,2
swivel,adjective,2
talented,adjective,2
tasty,adjective,2
thorough,adjective,2
thoughtful,adjective,2
toll-free,adjective,2
top,adjective,2
touching,adjective,2
tranquil,adjective,2
truthful,adjective,2
unamusing,adjective,2
uncoventional,adjective,2
undamaged,adjective,2
unlimited,adjective,2
unprecedented,adjective,2
unrestricted,adjective,2
viable,adjective,2
well-intentioned,adjective,2
youthful,adjective,2
elfin,adjective,2
expandable,adjective,2
proficient,adjective,2
programmable,adjective,2
believeable,adjective,2
big-hearted,adjective,2
big-time,adjective,2
catchy,adjective,2
climactic,adjective,2
conducive,adjective,2
cross-platform,adjective,2
everlasting,adjective,2
forceful,adjective,2
high-energy,adjective,2
human,adjective,2
indomitable,adjective,2
judicious,adjective,2
kicky,adjective,2
literate,adjective,2
magnetic,adjective,2
modular,adjective,2
moral,adjective,2
outgoing,adjective,2
plucky,adjective,2
properous,adjective,2
skilful,adjective,2
spicy,adjective,2
spirited,adjective,2
sympathetic,adjective,2
cathartic,adjective,2
sumptuous-looking,adjective,2
even-tempered,adjective,2
multi-faceted,adjective,2
larger-than-life,adjective,2
personable,adjective,2
workmanlike,adjective,2
eye-popping,adjective,2
stimulating,adjective,2
affectionate,adjective,2
hyperkinetic,adjective,2
multi-dimensional,adjective,2
glamorous,adjective,2
artistical,adjective,2
chuckle-worthy,adjective,2
chivalrous,adjective,2
well-behaved,adjective,2
vigorous,adjective,2
peppy,adjective,2
not_(bad),adjective,2
high-performance,adjective,2
redepemption,adjective,2
hip,adjective,2
worth-while,adjective,2
well-regarded,adjective,2
well-received,adjective,2
well-managed,adjective,2
warmhearted,adjective,2
venerable,adjective,2
unpretentious,adjective,2
trustworthy,adjective,2
suave,adjective,2
studious,adjective,2
stirring,adjective,2
stately,adjective,2
savvy,adjective,2
rosy,adjective,2
reverent,adjective,2
proactive,adjective,2
posh,adjective,2
pithy,adjective,2
optimal,adjective,2
nurturing,adjective,2
likable,adjective,2
irrefutable,adjective,2
ingratiating,adjective,2
indestructible,adjective,2
indefatigable,adjective,2
incisive,adjective,2
humane,adjective,2
heartening,adjective,2
harmonious,adjective,2
gracious,adjective,2
fragrant,adjective,2
feisty,adjective,2
fashionable,adjective,2
entertaining,adjective,2
enduring,adjective,2
easygoing,adjective,2
dignified,adjective,2
dextrous,adjective,2
dedicated,adjective,2
courtly,adjective,2
comely,adjective,2
arresting,adjective,2
auspicious,adjective,2
timely,adjective,2
sustainable,adjective,2
self-sufficient,adjective,2
resurgent,adjective,2
resilient,adjective,2
prosperous,adjective,2
principled,adjective,2
polished,adjective,2
nourishing,adjective,2
lucrative,adjective,2
low-risk,adjective,2
improved,adjective,2
favored,adjective,2
enhanced,adjective,2
boisterous,adjective,2
digital,adjective,1
non-smoking,adjective,1
extra,adjective,1
shrewd,adjective,1
subtle,adjective,1
undying,adjective,1
able,adjective,1
academic,adjective,1
acceptable,adjective,1
accord-based,adjective,1
adequate,adjective,1
adequate-borderline,adjective,1
aerodynamic,adjective,1
age-old,adjective,1
all-purpose,adjective,1
all-time,adjective,1
all-weather,adjective,1
appropriate,adjective,1
archetypal,adjective,1
artsy,adjective,1
aspiring,adjective,1
assertive,adjective,1
authentic,adjective,1
auto-focus,adjective,1
automatic,adjective,1
automatically-bestselling,adjective,1
auto-tilting,adjective,1
auxiliary,adjective,1
average,adjective,1
averaged-sized,adjective,1
average-good,adjective,1
average-sized,adjective,1
balanced,adjective,1
believable,adjective,1
big,adjective,1
blameless,adjective,1
book-lined,adjective,1
bouncy,adjective,1
careful,adjective,1
casual,adjective,1
cavernous,adjective,1
celestial,adjective,1
central,adjective,1
ceremonial,adjective,1
challenging,adjective,1
civil,adjective,1
civilized,adjective,1
classical,adjective,1
climate-control,adjective,1
cloudless,adjective,1
collectible,adjective,1
color-matched,adjective,1
comedic,adjective,1
comic,adjective,1
comical,adjective,1
commensurate,adjective,1
comparable,adjective,1
compatible,adjective,1
competitive,adjective,1
complementary,adjective,1
complete,adjective,1
comprehensible,adjective,1
concrete,adjective,1
conscious,adjective,1
contemporary,adjective,1
controllable,adjective,1
credible,adjective,1
customary,adjective,1
dainty,adjective,1
danceable,adjective,1
decent,adjective,1
decisive,adjective,1
detailed,adjective,1
distinctive,adjective,1
do-it-yourself,adjective,1
double-duty,adjective,1
down-to-earth,adjective,1
drama-free,adjective,1
early,adjective,1
earthly,adjective,1
eclectic,adjective,1
effective,adjective,1
electric,adjective,1
electrical,adjective,1
equal,adjective,1
equitable,adjective,1
erudite,adjective,1
european,adjective,1
evident,adjective,1
exempt,adjective,1
extendable,adjective,1
factual,adjective,1
fair,adjective,1
fairground-inspired,adjective,1
familiar,adjective,1
fiery,adjective,1
firm,adjective,1
first,adjective,1
fit,adjective,1
fitting,adjective,1
flashy,adjective,1
flavored,adjective,1
flirtatious,adjective,1
flush,adjective,1
foolproof,adjective,1
forgivable,adjective,1
four-way,adjective,1
frameless,adjective,1
frequent,adjective,1
functional,adjective,1
funky,adjective,1
giant,adjective,1
giddy,adjective,1
gigantic,adjective,1
global,adjective,1
glossy,adjective,1
golden,adjective,1
good-intentioned,adjective,1
gradual,adjective,1
grandiose,adjective,1
green,adjective,1
grown-up,adjective,1
hand-written,adjective,1
high-up,adjective,1
home-made,adjective,1
hot,adjective,1
huge,adjective,1
humanistic,adjective,1
humongous,adjective,1
hypnotic,adjective,1
immediate,adjective,1
immense,adjective,1
impenetrable,adjective,1
independent,adjective,1
indigenous,adjective,1
infinite,adjective,1
informal,adjective,1
innocuous,adjective,1
inoffensive,adjective,1
inquisitive,adjective,1
intact,adjective,1
intangible,adjective,1
intimate,adjective,1
intricate,adjective,1
introspective,adjective,1
invincible,adjective,1
invisible,adjective,1
jazzy,adjective,1
karmic,adjective,1
laid-back,adjective,1
relaxing,adjective,1
latent,adjective,1
latest,adjective,1
legal,adjective,1
legible,adjective,1
legitimate,adjective,1
less-expensive,adjective,1
liveable,adjective,1
logical,adjective,1
long-running,adjective,1
long-standing,adjective,1
low-abrasive,adjective,1
low-cost,adjective,1
lower-cost,adjective,1
lower-priced,adjective,1
low-speed,adjective,1
lucid,adjective,1
manageable,adjective,1
maternal,adjective,1
mature,adjective,1
maximum,adjective,1
mellow,adjective,1
meticulous,adjective,1
mighty,adjective,1
mild,adjective,1
much-used,adjective,1
native,adjective,1
new-classic,adjective,1
newfound,adjective,1
no-holds-barred,adjective,1
notable,adjective,1
noteable,adjective,1
noticeable,adjective,1
obtainable,adjective,1
one-on-one,adjective,1
operational,adjective,1
operative,adjective,1
optional,adjective,1
original,adjective,1
palatable,adjective,1
performance-oriented,adjective,1
persuasive,adjective,1
plausible,adjective,1
possible,adjective,1
potent,adjective,1
practical,adjective,1
precision,adjective,1
preferable,adjective,1
prominent,adjective,1
prompt,adjective,1
proper,adjective,1
proud,adjective,1
pure,adjective,1
quasi-luxury,adjective,1
quiet,adjective,1
quirky,adjective,1
rare,adjective,1
readable,adjective,1
ready,adjective,1
ready-to-pop,adjective,1
real,adjective,1
realistic,adjective,1
real-life,adjective,1
real-world,adjective,1
reasonable,adjective,1
receptive,adjective,1
recognisable,adjective,1
recognizable,adjective,1
recoverable,adjective,1
redeeming,adjective,1
regular,adjective,1
relevant,adjective,1
reminiscent,adjective,1
respectable,adjective,1
respectful,adjective,1
responsible,adjective,1
responsive,adjective,1
restraint,adjective,1
right,adjective,1
rustic,adjective,1
safe,adjective,1
saleable,adjective,1
sane,adjective,1
satisfactory,adjective,1
scholarly,adjective,1
scientific,adjective,1
secure,adjective,1
sedate,adjective,1
sensitive,adjective,1
sexual,adjective,1
sharp,adjective,1
significant,adjective,1
silver,adjective,1
sizable,adjective,1
slender,adjective,1
slim,adjective,1
smooth,adjective,1
social,adjective,1
soft,adjective,1
solemn,adjective,1
solid,adjective,1
soulful,adjective,1
space-age,adjective,1
speedy,adjective,1
spontaneous,adjective,1
springy,adjective,1
stable,adjective,1
stand-alone,adjective,1
standard,adjective,1
stand-out,adjective,1
steady,adjective,1
straightforward,adjective,1
straight-forward,adjective,1
straight-line,adjective,1
striking,adjective,1
style-fest,adjective,1
substantial,adjective,1
sufficient,adjective,1
suitable,adjective,1
sultry,adjective,1
supportive,adjective,1
tall,adjective,1
tan,adjective,1
tangible,adjective,1
tasteful,adjective,1
technological,adjective,1
tempting,adjective,1
thankful,adjective,1
trusty,adjective,1
typical,adjective,1
understandable,adjective,1
unorthodox,adjective,1
unusual,adjective,1
urban,adjective,1
usable,adjective,1
useable,adjective,1
useful,adjective,1
user-accessible,adjective,1
usual,adjective,1
valid,adjective,1
vast,adjective,1
viewable,adjective,1
vital,adjective,1
warm,adjective,1
watchable,adjective,1
whimsical,adjective,1
wholesome,adjective,1
willing,adjective,1
workable,adjective,1
worth,adjective,1
young,adjective,1
antique,adjective,1
easy,adjective,1
futurisitic,adjective,1
action,adjective,1
action-adventure,adjective,1
agile,adjective,1
all-around,adjective,1
all-clear,adjective,1
allowable,adjective,1
bite-sized,adjective,1
bouncy,adjective,1
character-driven,adjective,1
charitable,adjective,1
compact,adjective,1
cooler-headed,adjective,1
distinct,adjective,1
down-home,adjective,1
explanatory,adjective,1
high-profile,adjective,1
high-speed,adjective,1
industry-standard,adjective,1
manly,adjective,1
moderately-priced,adjective,1
modest,adjective,1
mystic,adjective,1
novel,adjective,1
observant,adjective,1
official,adjective,1
okay,adjective,1
opportune,adjective,1
prime,adjective,1
shiny,adjective,1
sizzling,adjective,1
sure,adjective,1
suspensful,adjective,1
tolerant,adjective,1
uncanny,adjective,1
unconventional,adjective,1
unpredictable,adjective,1
virginal,adjective,1
dramatic,adjective,1
tropical,adjective,1
tolerable,adjective,1
streetwise,adjective,1
famed,adjective,1
wacky,adjective,1
hi-larious,adjective,1
self-respecting,adjective,1
unbridled,adjective,1
cheery,adjective,1
ultimate,adjective,1
uncompromising,adjective,1
seductive,adjective,1
ok,adjective,1
half-price,adjective,1
sound,adjective,1
gleaming,adjective,1
chummy,adjective,1
soothing,adjective,1
lightweight,adjective,1
wry,adjective,1
well-informed,adjective,1
well-connected,adjective,1
unfettered,adjective,1
undaunted,adjective,1
unconcerned,adjective,1
tidy,adjective,1
serene,adjective,1
scrupulous,adjective,1
sanguine,adjective,1
rational,adjective,1
priviledged,adjective,1
plush,adjective,1
patriotic,adjective,1
offbeat,adjective,1
nimble,adjective,1
moderate,adjective,1
lionhearted,adjective,1
law-abiding,adjective,1
just,adjective,1
incorruptible,adjective,1
impregnable,adjective,1
impervious,adjective,1
harmless,adjective,1
fancy,adjective,1
excusable,adjective,1
ethical,adjective,1
deserved,adjective,1
content,adjective,1
conscientious,adjective,1
congenial,adjective,1
amicable,adjective,1
untouched,adjective,1
unscathed,adjective,1
unencumbered,adjective,1
unbiased,adjective,1
trim,adjective,1
thrifty,adjective,1
temperate,adjective,1
swift,adjective,1
substantive,adjective,1
restful,adjective,1
profitable,adjective,1
productive,adjective,1
pertinent,adjective,1
painless,adjective,1
lenient,adjective,1
historic,adjective,1
fertile,adjective,1
efficacious,adjective,1
cost-effective,adjective,1
benign,adjective,1
beneficial,adjective,1
austere,adjective,1
better,adjective,0
expensive,adjective,-1
dummy,adjective,-1
r-rated,adjective,-1
rainy,adjective,-1
torrid,adjective,-1
absent,adjective,-1
alcoholic,adjective,-1
ambitious,adjective,-1
analytical,adjective,-1
apologetic,adjective,-1
as-is,adjective,-1
asthmatic,adjective,-1
bare,adjective,-1
base-level,adjective,-1
bearable,adjective,-1
beefy,adjective,-1
blank,adjective,-1
blunt,adjective,-1
borderline,adjective,-1
boxy,adjective,-1
brain-racking,adjective,-1
brave,adjective,-1
brief,adjective,-1
bumpy,adjective,-1
businesslike,adjective,-1
busy,adjective,-1
cautious,adjective,-1
c-class,adjective,-1
childlike,adjective,-1
child-like,adjective,-1
chilly,adjective,-1
choppy,adjective,-1
clinical,adjective,-1
cloudy,adjective,-1
cold,adjective,-1
commercial,adjective,-1
complex,adjective,-1
compulsive,adjective,-1
conservative,adjective,-1
controversial,adjective,-1
conventional,adjective,-1
cooler-than-usual,adjective,-1
crazed,adjective,-1
crazy,adjective,-1
crooked,adjective,-1
cryptic,adjective,-1
deadly,adjective,-1
debatable,adjective,-1
defensive,adjective,-1
dim,adjective,-1
disabled,adjective,-1
disconcerting,adjective,-1
discouraging,adjective,-1
disobedient,adjective,-1
distant,adjective,-1
drab,adjective,-1
earthy,adjective,-1
eccentric,adjective,-1
eerie,adjective,-1
emotional,adjective,-1
emotionally-invested,adjective,-1
endless,adjective,-1
episodic,adjective,-1
explicit,adjective,-1
faint,adjective,-1
fictitious,adjective,-1
floppy,adjective,-1
fluffy,adjective,-1
fragile,adjective,-1
frayed,adjective,-1
frilly,adjective,-1
gray,adjective,-1
grey,adjective,-1
hairy,adjective,-1
half-expected,adjective,-1
handicapped,adjective,-1
hang-ups,adjective,-1
