lexicon,label
bleakly,negative
bleakness,negative
bleary,negative
bleed,negative
bleeding,negative
bleeds,negative
blemish,negative
blepharitis,negative
blind,negative
blinding,negative
blindingly,negative
blindside,negative
blister,negative
blister rust,negative
blistering,negative
bloat,negative
bloated,negative
block,negative
blockage,negative
blockhead,negative
blood disease,negative
blood disorder,negative
bloodiness,negative
bloodshed,negative
bloodshot,negative
bloodthirstiness,negative
bloodthirsty,negative
bloody,negative
bloody-minded,negative
blotchy,negative
blow,negative
blowing up,negative
blt,negative
blubbery,negative
blue,negative
blue-blind,negative
blunder,negative
blundering,negative
blunders,negative
blunt,negative
blur,negative
bluring,negative
blurred,negative
blurring,negative
blurry,negative
blurs,negative
blurt,negative
boastful,negative
bobble,negative
bodge,negative
bodiless,negative
body guard,negative
boehmeria,negative
bog,negative
bog down,negative
boggle,negative
bogus,negative
boil,negative
boiling,negative
boisterous,negative
bollix,negative
bollix up,negative
bollocks,negative
bollocks up,negative
bolshy,negative
bomb,negative
bombard,negative
bombardment,negative
bombastic,negative
bondage,negative
bone dry,negative
bone-dry,negative
boneless,negative
bonkers,negative
borderline schizophrenia,negative
bore,negative
borecole,negative
bored,negative
boredom,negative
bores,negative
boring,negative
bosworth field,negative
botch,negative
botch up,negative
botched,negative
bother,negative
bothered,negative
bothering,negative
bothers,negative
bothersome,negative
bottom rot fungus,negative
bounder,negative
boundlessness,negative
bowdlerize,negative
boycott,negative
brace,negative
braggart,negative
bragger,negative
brain-teaser,negative
brainish,negative
brainless,negative
brainwash,negative
brash,negative
brashly,negative
brashness,negative
brassica oleracea acephala,negative
brat,negative
bravado,negative
brave out,negative
brazen,negative
brazenly,negative
brazenness,negative
breach,negative
break,negative
break-up,negative
break-ups,negative
breakability,negative
breakdown,negative
breaking,negative
breaks,negative
breakup,negative
breakups,negative
breathless,negative
bribe,negative
bribery,negative
bribes,negative
bright's disease,negative
brimstone,negative
bristle,negative
brittle,negative
broke,negative
broken,negative
broken-backed,negative
broken-down,negative
broken-hearted,negative
brokenhearted,negative
brokenheartedness,negative
bronchial pneumonia,negative
bronchiolitis,negative
bronchitic,negative
bronchitis,negative
bronchopneumonia,negative
bronchospasm,negative
bronzed diabetes,negative
brood,negative
browbeat,negative
bruise,negative
bruised,negative
bruises,negative
bruising,negative
brush,negative
brush down,negative
brusque,negative
brutal,negative
brutalise,negative
brutalising,negative
brutalities,negative
brutality,negative
brutalize,negative
brutalizing,negative
brutally,negative
brute,negative
brutish,negative
bs,negative
bubo,negative
bubonic plague,negative
buckle,negative
bug,negative
bugging,negative
buggy,negative
bugs,negative
bulimic,negative
bulkier,negative
bulkiness,negative
bulky,negative
bulkyness,negative
bull,negative
bull****,negative
bull----,negative
bullies,negative
bullshit,negative
bullshyt,negative
bully,negative
bullying,negative
bullyingly,negative
bum,negative
bumble,negative
bumbling,negative
bummer,negative
bump,negative
bump off,negative
bumped,negative
bumping,negative
bumpkin,negative
bumpping,negative
bumps,negative
bumptiousness,negative
bumpy,negative
bungle,negative
bungled,negative
bungler,negative
bungling,negative
bunk,negative
burden,negative
burdenless,negative
burdens,negative
burdensome,negative
burdensomely,negative
buried,negative
burke,negative
burn,negative
burned,negative
burned-out,negative
burned-over,negative
burning,negative
burning bush,negative
burns,negative
burnt,negative
burnt-out,negative
bush,negative
bush-league,negative
bust,negative
busts,negative
busy,negative
busybodied,negative
busybody,negative
butcher,negative
butcherly,negative
butchery,negative
butterfingered,negative
buttoned-up,negative
buzzing,negative
by artificial means,negative
by-and-by,negative
bypass,negative
byzantine,negative
cackle,negative
cacography,negative
cacophonic,negative
cacophonous,negative
cad,negative
calamities,negative
calamitous,negative
calamitously,negative
calamity,negative
call down,negative
call on the carpet,negative
callous,negative
calumniate,negative
calumniation,negative
calumniatory,negative
calumnies,negative
calumnious,negative
calumniously,negative
calumny,negative
calvary,negative
camp,negative
camp follower,negative
canal,negative
canard,negative
cancer,negative
cancer of the liver,negative
cancerous,negative
canker,negative
cankerous,negative
cannibal,negative
cannibalize,negative
cantankerous,negative
capillary fracture,negative
capitulate,negative
capric acid,negative
capricious,negative
capriciously,negative
capriciousness,negative
caprylic acid,negative
capsize,negative
captivated,negative
carbonado,negative
carbuncled,negative
carbuncular,negative
carcinoma in situ,negative
cardiac arrest,negative
cardiac insufficiency,negative
cardiogenic shock,negative
cardiopulmonary arrest,negative
cardiospasm,negative
careless,negative
carelessness,negative
careworn,negative
caricature,negative
carnage,negative
carp,negative
carpal tunnel,negative
carpal tunnel syndrome,negative
cartilaginous,negative
cartoonish,negative
caseous,negative
cash-strapped,negative
casteless,negative
castigate,negative
castigation,negative
castrated,negative
casual,negative
casualty,negative
catabolic,negative
cataclysm,negative
cataclysmal,negative
cataclysmic,negative
cataclysmically,negative
catarrhal fever,negative
catastrophe,negative
catastrophes,negative
catastrophic,negative
catastrophically,negative
catastrophies,negative
catcall,negative
cattiness,negative
cattish,negative
catty,negative
caught the,negative
cauliflower ear,negative
caustic,negative
caustically,negative
cautionary,negative
cave,negative
caveat emptor,negative
caviler,negative
caviller,negative
cease,negative
cedar-apple rust,negative
celebrex,negative
celecoxib,negative
celiac disease,negative
cellulitis,negative
censor,negative
censored,negative
censorious,negative
censorship,negative
censurable,negative
censure,negative
cephalitis,negative
ceratostomella ulmi,negative
cervicitis,negative
chafe,negative
chafed,negative
chaff,negative
chagrin,negative
chalcid,negative
chalcid fly,negative
chalcid wasp,negative
chalcidfly,negative
challenging,negative
changeless,negative
chaos,negative
chaotic,negative
chapelgoer,negative
charitableness,negative
charmed,negative
chasten,negative
chastise,negative
chastisement,negative
chatter,negative
chatterbox,negative
chawbacon,negative
cheap,negative
cheapen,negative
cheapjack,negative
cheaply,negative
cheat,negative
cheated,negative
cheater,negative
cheating,negative
cheats,negative
checkered,negative
cheerless,negative
cheerlessness,negative
cheesy,negative
chemical diabetes,negative
chew out,negative
chew up,negative
chewing out,negative
chicken kiev,negative
chide,negative
childish,negative
chill,negative
chilling,negative
chilly,negative
chintzy,negative
chirpy,negative
choke,negative
choker,negative
cholangitis,negative
cholecystectomy,negative
cholecystitis,negative
cholecystokinin,negative
cholera morbus,negative
choleric,negative
choppy,negative
chore,negative
christless,negative
christmas factor,negative
chromoblastomycosis,negative
chronic,negative
chronic gastritis,negative
chronic obstructive pulmonary disease,negative
chunky,negative
churlish,negative
circumspection,negative
citrophilous mealybug,negative
citrophilus mealybug,negative
citrulline,negative
clamminess,negative
clamor,negative
clamorous,negative
clap,negative
clapperclaw,negative
clash,negative
claustrophobic,negative
cleanness,negative
cleanse,negative
clement,negative
cliche,negative
cliched,negative
clinical psychologist,negative
clique,negative
clog,negative
clogged,negative
clogs,negative
close-minded,negative
closed,negative
closed-door,negative
closed-minded,negative
clouding,negative
cloudy,negative
clueless,negative
clumsy,negative
clunky,negative
coarse,negative
coarse-grained,negative
coccidioidomycosis,negative
coccidiomycosis,negative
cockiness,negative
cocksucker,negative
cocky,negative
cod oil,negative
coerce,negative
coercion,negative
coercive,negative
coffee roll,negative
coin-operated,negative
coincidental,negative
colchicaceae,negative
cold,negative
cold-blooded,negative
coldheartedness,negative
coldly,negative
cole,negative
colewort,negative
colic,negative
colicky,negative
colitis,negative
collapse,negative
collude,negative
collusion,negative
colly,negative
collywobbles,negative
colonel blimp,negative
color blindness,negative
color vision deficiency,negative
color-blind,negative
colour blindness,negative
colour vision deficiency,negative
colour-blind,negative
colpocystitis,negative
combative,negative
combust,negative
comforter,negative
comfortless,negative
comical,negative
commercial-grade,negative
commiserate,negative
commiseration,negative
common,negative
commonplace,negative
commotion,negative
commotions,negative
complacent,negative
complain,negative
complained,negative
complaining,negative
complains,negative
complaint,negative
complaintive,negative
complaints,negative
complex,negative
complex absence,negative
complicated,negative
complication,negative
complicit,negative
composite number,negative
compulsion,negative
compulsive,negative
concede,negative
conceded,negative
conceit,negative
conceited,negative
concen,negative
concens,negative
concentrated,negative
concern,negative
concerned,negative
concerns,negative
concession,negative
concessions,negative
concubinage,negative
condemn,negative
condemnable,negative
condemnation,negative
condemnatory,negative
condemned,negative
condemning,negative
condemns,negative
condescend,negative
condescending,negative
condescendingly,negative
condescension,negative
condole,negative
condole with,negative
confabulation,negative
confess,negative
confession,negative
confessions,negative
confined,negative
conflict,negative
conflicted,negative
conflicting,negative
conflicts,negative
conformist,negative
confound,negative
confounded,negative
confounding,negative
confront,negative
confrontation,negative
confrontational,negative
confuse,negative
confused,negative
confuses,negative
confusing,negative
confusion,negative
confusions,negative
confuter,negative
congenital afibrinogenemia,negative
congenital megacolon,negative
congested,negative
congestion,negative
congestive heart failure,negative
conquest,negative
cons,negative
conscience,negative
conscons,negative
consequence,negative
consequences,negative
conservative,negative
conserved,negative
conspicuous,negative
conspicuously,negative
conspiracies,negative
conspiracy,negative
conspiracy of silence,negative
conspirator,negative
conspiratorial,negative
conspire,negative
consternation,negative
constipated,negative
constipation,negative
constructive eviction,negative
consumptive,negative
contagious,negative
contaminate,negative
contaminated,negative
contaminates,negative
contaminating,negative
contamination,negative
contempt,negative
contemptible,negative
contemptuous,negative
contemptuously,negative
contend,negative
contention,negative
contentious,negative
contingent,negative
continuing trespass,negative
contort,negative
contortions,negative
contradict,negative
contradiction,negative
contradictory,negative
contrariness,negative
contrarious,negative
contravene,negative
contrite,negative
contrive,negative
contrived,negative
controversial,negative
controversy,negative
controvert,negative
contumacious,negative
conundrum,negative
conundrums,negative
convallariaceae,negative
conventionalised,negative
conventionalized,negative
conviction,negative
convoluted,negative
convulsion,negative
convulsive,negative
coolie,negative
cooly,negative
coordination,negative
cop out,negative
coprolalia,negative
cordiality,negative
cordless,negative
corked,negative
corky,negative
coronary failure,negative
coronary insufficiency,negative
coronavirus,negative
corporal punishment,negative
corrected,negative
corrode,negative
corrosion,negative
corrosions,negative
corrosive,negative
corrupt,negative
corrupted,negative
corrupting,negative
corruption,negative
corrupts,negative
corruptted,negative
corticium solani,negative
costalgia,negative
costlier,negative
costly,negative
costochondritis,negative
costume,negative
counter-productive,negative
countermand,negative
counterproductive,negative
counterrevolutionary,negative
coupists,negative
covetous,negative
coward,negative
cowardly,negative
cowpox,negative
cox-2,negative
coxsackie virus,negative
coxsackievirus,negative
cozen,negative
crabbed,negative
crabbedness,negative
crabbiness,negative
crabby,negative
crack,negative
cracked,negative
cracker,negative
cracks,negative
craftily,negative
craftly,negative
crafty,negative
cramp,negative
cramped,negative
cramping,negative
crankiness,negative
cranky,negative
crap,negative
crappy,negative
craps,negative
crash,negative
crashed,negative
crashes,negative
crashing,negative
crass,negative
craven,negative
cravenly,negative
craze,negative
crazily,negative
craziness,negative
crazy,negative
creak,negative
creaking,negative
creaks,negative
credulous,negative
creep,negative
creeping,negative
creeps,negative
creepy,negative
creepy-crawlies,negative
crept,negative
cretinous,negative
crime,negative
criminal,negative
criminal negligence,negative
cringe,negative
cringed,negative
cringes,negative
cripple,negative
crippled,negative
cripples,negative
crippling,negative
crisis,negative
critic,negative
critical,negative
criticism,negative
criticisms,negative
criticize,negative
criticized,negative
criticizing,negative
criticizm,negative
critics,negative
crocodile tears,negative
crohn's disease,negative
cronyism,negative
crook,negative
crooked,negative
crooks,negative
cross,negative
cross-grained,negative
crossbench,negative
crossness,negative
crotchetiness,negative
crotchety,negative
croup,negative
crowded,negative
crowdedness,negative
crown of thorns,negative
crucifixion,negative
crud,negative
cruddy,negative
crude,negative
crudeness,negative
cruel,negative
crueler,negative
cruelest,negative
cruelly,negative
cruelness,negative
cruelties,negative
cruelty,negative
crumble,negative
crumbling,negative
crummy,negative
crumple,negative
crumpled,negative
crumples,negative
crush,negative
crushed,negative
crushing,negative
crusty,negative
cry,negative
crying,negative
cryoanaesthesia,negative
cryoanesthesia,negative
cryopathy,negative
culpable,negative
culpable negligence,negative
culprit,negative
cumbersome,negative
cunt,negative
cunts,negative
cuplrit,negative
curdle,negative
curmudgeonly,negative
current intelligence,negative
curse,negative
cursed,negative
curses,negative
cursory,negative
curt,negative
curtainless,negative
cushing's disease,negative
cushing's syndrome,negative
cuss,negative
cussed,negative
cussedness,negative
cut,negative
cut across,negative
cutthroat,negative
cyclobenzaprine,negative
cyclodestructive surgery,negative
cyclooxygenase-2,negative
cynical,negative
cynicism,negative
cystitis,negative
czestochowa,negative
d*mn,negative
daltonism,negative
damage,negative
damaged,negative
damages,negative
damaging,negative
damn,negative
damnable,negative
damnably,negative
damnation,negative
damned,negative
damning,negative
damper,negative
damping off fungus,negative
danger,negative
dangerous,negative
dangerousness,negative
dankness,negative
dark,negative
dark comedy,negative
darken,negative
darkened,negative
darker,negative
darkness,negative
dastard,negative
dastardly,negative
dateless,negative
daunt,negative
daunting,negative
dauntingly,negative
dawdle,negative
day of reckoning,negative
day-old,negative
daze,negative
dazed,negative
dead,negative
deadbeat,negative
deadlock,negative
deadly,negative
deadweight,negative
deaf,negative
deaf as a post,negative
dearth,negative
death,negative
debacle,negative
debase,negative
debased,negative
debasement,negative
debaser,negative
debasing,negative
debatable,negative
debauch,negative
debaucher,negative
debauchery,negative
debilitate,negative
debilitating,negative
debility,negative
debt,negative
debts,negative
debunking,negative
decadence,negative
decadent,negative
decanoic acid,negative
decay,negative
decayed,negative
deceit,negative
deceitful,negative
deceitfully,negative
deceitfulness,negative
deceive,negative
deceiver,negative
deceivers,negative
deceiving,negative
deceivingly,negative
deception,negative
deceptive,negative
deceptively,negative
deceptiveness,negative
decertify,negative
declaim,negative
decline,negative
declines,negative
declining,negative
decrement,negative
decrepit,negative
decrepitude,negative
decry,negative
deep division,negative
deep supporting fire,negative
deface,negative
defamation,negative
defamations,negative
defamatory,negative
defame,negative
defect,negative
defective,negative
defects,negative
defence,negative
defense,negative
defenseless,negative
defensive,negative
defensiveness,negative
defiance,negative
defiant,negative
defiantly,negative
deficiencies,negative
deficiency,negative
deficient,negative
deficit,negative
defile,negative
defiler,negative
deflection,negative
deform,negative
deformed,negative
defrauding,negative
defunct,negative
defy,negative
degenerate,negative
degenerately,negative
degeneration,negative
degradation,negative
degrade,negative
degrading,negative
degradingly,negative
dehumanization,negative
dehumanize,negative
deign,negative
deject,negative
dejected,negative
dejectedly,negative
dejection,negative
delay,negative
delayed,negative
delaying,negative
delays,negative
delinquency,negative
delinquent,negative
deliquium,negative
delirious,negative
delirium,negative
delude,negative
deluded,negative
deluge,negative
delusion,negative
delusional,negative
delusions,negative
delusions of persecution,negative
delusive,negative
delusory,negative
demean,negative
demeaning,negative
demerit,negative
demimonde,negative
demise,negative
demolish,negative
demolisher,negative
demon,negative
demonic,negative
demonisation,negative
demonization,negative
demonize,negative
demonized,negative
demonizes,negative
demonizing,negative
demoralise,negative
demoralising,negative
demoralize,negative
demoralizing,negative
demoralizingly,negative
denial,negative
denied,negative
denies,negative
denigrate,negative
denigrating,negative
denigrative,negative
denigratory,negative
denounce,negative
dense,negative
dent,negative
dented,negative
dents,negative
denudate,negative
denuded,negative
denunciate,negative
denunciation,negative
denunciations,negative
deny,negative
denying,negative
dependent,negative
dependent clause,negative
depigmentation,negative
deplete,negative
deplorable,negative
deplorably,negative
deplore,negative
deploring,negative
deploringly,negative
deprave,negative
depraved,negative
depravedly,negative
deprecate,negative
deprecating,negative
deprecative,negative
deprecatory,negative
depreciative,negative
depreciatory,negative
depress,negative
depressed,negative
depressing,negative
depressingly,negative
depression,negative
depressions,negative
depressive,negative
deprivation,negative
deprive,negative
deprived,negative
derecognise,negative
derecognize,negative
deride,negative
derision,negative
derisive,negative
derisively,negative
derisiveness,negative
derogative,negative
derogatory,negative
descriptive clause,negative
desecrate,negative
desensitise,negative
desensitize,negative
desert,negative
desert rheumatism,negative
desertion,negative
desiccate,negative
desiccated,negative
desist,negative
desititute,negative
desolate,negative
desolately,negative
desolation,negative
despair,negative
despairing,negative
despairingly,negative
desperate,negative
desperately,negative
desperation,negative
despicable,negative
despicably,negative
despisal,negative
despise,negative
despised,negative
despising,negative
despite,negative
despoil,negative
despoiler,negative
despondence,negative
despondency,negative
despondent,negative
despondently,negative
despot,negative
despotic,negative
despotism,negative
destabilisation,negative
destains,negative
destitute,negative
destitution,negative
destroy,negative
destroyed,negative
destroyer,negative
destroying,negative
destruction,negative
destructive,negative
destructiveness,negative
desultory,negative
detached,negative
deter,negative
deteriorate,negative
deteriorating,negative
deterioration,negative
determinate,negative
deterrent,negative
detest,negative
detestable,negative
detestably,negative
detested,negative
detesting,negative
detests,negative
detract,negative
detracted,negative
detracting,negative
detraction,negative
detracts,negative
detriment,negative
detrimental,negative
deuteranopia,negative
devastate,negative
devastated,negative
devastates,negative
devastating,negative
devastatingly,negative
devastation,negative
deviate,negative
deviation,negative
devil,negative
devilish,negative
devilishly,negative
devilment,negative
devilry,negative
deviltry,negative
devious,negative
deviously,negative
deviousness,negative
devoid,negative
diabetes mellitus,negative
diabetic,negative
diabolic,negative
diabolical,negative
diabolically,negative
diametrically,negative
diappointed,negative
diatribe,negative
diatribes,negative
dick,negative
dickensian,negative
dickhead,negative
dictator,negative
dictatorial,negative
die,negative
die-hard,negative
died,negative
dies,negative
difficult,negative
difficulties,negative
difficulty,negative
diffidence,negative
dilapidated,negative
dilatoriness,negative
dilaudid,negative
dilemma,negative
dilly-dally,negative
dilute,negative
diluted,negative
dim,negative
dimmer,negative
din,negative
ding,negative
dings,negative
dingy,negative
dinky,negative
diphtheria,negative
diplococcus pneumoniae,negative
dire,negative
directed study,negative
directed verdict,negative
direful,negative
direly,negative
direness,negative
dirt,negative
dirtbag,negative
dirtbags,negative
dirts,negative
dirty,negative
dirty-faced,negative
disability,negative
disable,negative
disabled,negative
disablement,negative
disaccord,negative
disadvantage,negative
disadvantaged,negative
disadvantageous,negative
disadvantages,negative
disaffect,negative
disaffected,negative
disaffirm,negative
disagree,negative
disagreeable,negative
disagreeableness,negative
disagreeably,negative
disagreed,negative
disagreeing,negative
